,utility,eiaid,name,label,enddate,demandrateunit,flatdemandunit,uri,sector,description,source,peakkwcapacitymax,peakkwcapacitymin,peakkwhuseagemax,peakkwhuseagemin,voltagecategory,phasewiring
0,"City of Scribner, Nebraska (Utility Company)",16610,"Commercial & Industrial Demand, Single Phase (EL 10)",539f6a0aec4f024411ec8aa7,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f6a0aec4f024411ec8aa7,Commercial,,ISU Documentation,,,,,,Single Phase
2,Surprise Valley Electrification Corp.,18260,SCHEDULE D - Domestic and General Service,539f6a0aec4f024411ec8ab1,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f6a0aec4f024411ec8ab1,Commercial,"Domestic and small general service
Schedule D 

* Applicable to commercial and small industries and farm members, requiring single-phase or three-phase service for all uses including lighting, cooking, heating, appliances, and motors. Also individual apartments and flats for domestic lighting, incidental appliances, refrigeration, cooking, and power for motors not in excess of ten (10) horsepower connection at one time, and to schools, churches and community halls for all electrical requirements.

* The minimum monthly charge of $10.00 shall cover a 10 kva or smaller transformers. For members requiring more than 10 kva of transformer capacity, the minimum monthly charge shall be increased at the rate of $1.00 for each additional kva required. Any monthly minimum charged in excess of the minimum for a 10 kva transformer should entitle that the member to use the number of kilowatt-hours corresponding to such additional minimum charge in accordance with the foregoing rate.",http://www.surprisevalleyelectric.org/_uploads/SVECratecar122011.pdf,,,,,,
4,East-Central Iowa Rural Elec Coop,5588,Small General Service between 25KVA and 100kVA,539f6a0aec4f024411ec8ac1,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f6a0aec4f024411ec8ac1,Commercial,,http://www.ecirec.coop/admin/upload/editor/files/2-Corporate%20Documents/2%20-%20Tariff/Sec28_84-114.pdf,,,,,,
5,Oconomowoc Utilities,13963,Gs-1 General Service Three Phase,539f6a0aec4f024411ec8ac3,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f6a0aec4f024411ec8ac3,Commercial,,http://psc.wi.gov/apps40/tariffs/viewfile.aspx?type=electric&id=4340,50,,,,,3-Phase
6,Singing River Elec Pwr Assn (Mississippi),17252,Commercial Large General Service,539f6a0aec4f024411ec8ac9,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f6a0aec4f024411ec8ac9,Commercial,"*Subject to power cost adjustment, tax expense adjustment, and an environmental compliance charge.

*All kvar in excess of 40% (93% power factor) of billing demand will be billed at the rate of $0.90 per kvar.",http://www.singingriver.com/Files/LGS-15.pdf,749,250,,,,
10,"Village of Bloomdale, Ohio (Utility Company)",1677,Commercial (Single Phase-without demand),539f6a0aec4f024411ec8aed,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f6a0aec4f024411ec8aed,Commercial,,Binder #5B (Illinois State University),,,,,,
13,Norris Public Power District,13664,"SCHEDULE 16 - LARGE POWER - ABOVE 7,500 kW",539f6a0aec4f024411ec8afb,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f6a0aec4f024411ec8afb,Commercial,,"www.norrisppd.com/downloads/Schedule%2016%20-%20Large%20Power%20-%20Above%207,500%20kW%202013.pdf",,75000,,,Secondary,3-Phase
18,City & County of San Francisco (Utility Company),16612,C-1 Small Commercial Service Single Phase,587e7b435457a32e5a316ce7,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/587e7b435457a32e5a316ce7,Commercial,"This schedule is applicable to single-phase and polyphase commercial, industrial and other general non-residential uses with demands of less than 200 kW served through a separate meter or by a bank of meters.",http://sfwater.org/modules/showdocument.aspx?documentid=7743,200,,,,,
24,Bancroft Municipal Utilities,1172,Commercial Demand Rates,539f6a0bec4f024411ec8b31,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f6a0bec4f024411ec8b31,Commercial,This schedule applies to any commercial or industrial customer with more than 100 H.P. or 100 KV commercial load for all normal commercial and industrial uses.,http://bancroftiowa.com/Utilities.htm,,,,,,
32,"City of Longmont, Colorado (Utility Company)",11187,Commercial Contract Rate (CC),539f6a22ec4f024411ec8b75,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fb682ec4f024bc1dc00ef,Commercial,"At the Director's option, the City may enter into individual, written agreements with qualifying customers, which agreements shall establish the services to be provided, the amount to be charged for such services, and the terms and conditions under which such services will be provided. Meters are eligible to be aggregated if that meter exceeds
fifty (50) kW, or the energy exceeds 15,000 kWh/year.

At the Director's option, the City may enter into individual, written agreements with
qualifying customers, which agreements shall establish the services to be provided, the
amount to be charged for such services, and the terms and conditions under which such
services will be provided. The rate established by the agreement shall be adequate to
cover the City's costs of service to such customer.",http://www.ci.longmont.co.us/lpc/gen/rate_study/documents/Electric_BroadbandRatesandRegs2014.pdf,,800,,,,
36,"Canadian Valley Elec Coop, Inc",2911,"Small Commercial -Rate SC,Single Phase",539f6a22ec4f024411ec8b8d,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f6a22ec4f024411ec8b8d,Commercial,Available to all commercial and general service consumers.,ISU Documentation,,,,,,Single Phase
38,"Town of Stowe, Vermont (Utility Company)",27316,Commercial Rate 21-Three-Phase,539f6a23ec4f024411ec8b93,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f6a23ec4f024411ec8b93,Commercial,,www.townofstowevt.org/images/photos/sed_2014_rates.pdf,,,,,Secondary,3-Phase
39,Austin Energy,1015,General Service Non-Demand,539f6a23ec4f024411ec8b99,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f6a23ec4f024411ec8b99,Commercial,"- Assumptions: All riders, fees & fuel adjustments are included in the rate
- Data was collected during Fall '08",[[Media:Utility_Rate_Austin feeSchedule.pdf|Utility_Rate_Austin feeSchedule.pdf]],,,,,,
40,Hawkeye Tri-County El Coop Inc,8298,Large Power Rate,539f6a23ec4f024411ec8ba1,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f6a23ec4f024411ec8ba1,Commercial,,http://www.hawkeyerec.com/downloads/Rates_and_Fees.pdf,,,,,,
42,Albemarle Electric Member Corp,240,Small General Service Non-Demand,539f6a23ec4f024411ec8ba7,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f6a23ec4f024411ec8ba7,Commercial,"This schedule is applicable to all non-residential single-phase consumers having load requirements which do not exceed a demand of 50 kW.

* Single-phase, 60-cycle alternating current, at an available secondary voltage mutually agreed upon between the Cooperative and the consumer.

* The minimum monthly charge under this schedule shall be the Basic Facilities Charge.

Consumers requesting Service to be reconnected, which has been disconnected for less than twelve months, shall be responsible for:

1. The monthly minimum, as determined above, times the number of months the service was disconnected; and

2. The Cooperative's current reconnection charge.",http://aemc.coop/Documents/rateschedule.pdf,,,,,,
47,"City of Oxford, Mississippi (Utility Company)",14275,GSA-3,539f6a23ec4f024411ec8bc7,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f6a23ec4f024411ec8bc7,Commercial,,ISU Archive,,,,,,
48,Nishnabotna Valley R E C,13675,Multi Phase Large >130kV,539f6a23ec4f024411ec8bcd,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f6a23ec4f024411ec8bcd,Commercial,,ISU Documentation,,,,,,
51,Lincoln County Power Dist No 1,11021,COMMERCIAL SERVICE OVER 50 KVA - RURAL,539f6a23ec4f024411ec8bf5,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f6a23ec4f024411ec8bf5,Commercial,,http://www.lcpd1.com/pdf/rate/Rate%20Schedules.pdf,,51,,,Secondary,Single Phase
52,PUD No 1 of Ferry County,6297,General Service Schedule 200 Three Phase,539f6a23ec4f024411ec8bf7,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f6a23ec4f024411ec8bf7,Commercial,"Available for lighting and power uses under 50 KW of measured demand not eligible for service under other rate schedules of the District.  Subject to the District's established rules and regulations.

Unmetered Service:

Unmetered service may be provided where, in the opinion of the District, the usage can be reasonably computed without the use of a meter.

Wholesale Power Cost Adjustment:

The energy charge component of this rate schedule may be increased to cover any wholesale power cost adjustment levied against the District by its power supplier.",http://www.fcpud.com/General%20Service0114.pdf,,,,,,3-Phase
53,Seward County Rrl Pub Pwr Dist,16954,Urban General Service L27,539f6a23ec4f024411ec8bfb,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f6a23ec4f024411ec8bfb,Commercial,,Illinois State University Rate binder # 10,,,,,,
57,PUD No 1 of Chelan County,3413,General Service Commercial Demand 40 kW and over Single Phase,539f6a24ec4f024411ec8c19,,,kW,http://en.openei.org/apps/USURDB/rate/view/539f6a24ec4f024411ec8c19,Commercial,"AVAILABILITY:
1. This Schedule is available throughout the area of Chelan County served by the District with the exception of the Stehekin area, and is applicable to commercial, small industrial, farm power and multiple-residential light, heat and power customers.
2. This rate is divided into two parts. Part A-2 is secondary metered services and Part B-23 is primary metered customers who own their own transformers and distribution service facilities and have a peak demand less than 800 KW. Part B-23 applies to existing customers as of April 15, 1994. No new customers will be furnished service under Part B-23.

If a customer has reached or exceeded 40 KW of demand in the monthly billing period, all KW's shown for the present read will be billed at $2.40 per KW, the DEMAND 40 KW AND OVER rate. If the customer has not reached or exceeded 40 KW in the billing period, billing will be at the DEMAND 0-39 KW rate.",http://www.chelanpud.org/departments/customerservices/RatesElectricSchedules.pdf,,,,,,
60,Vernon Electric Coop,19813,Three-Phase Rate,539f6a24ec4f024411ec8c31,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f6a24ec4f024411ec8c31,Commercial,"Available to consumers for three-phase, single-phase primary metered, and three-phase primary metered service. Service under this schedule is limited to 10 h.p. motors or less without advance approval of the Cooperative. Service and rates provided hereunder are subject to the established rules and regulations of the Cooperative and are subject to change.
Additional Facility Charge over 35 kVA:	50 cents/kVA

The included rates will be increased or decreased the same amount as any charge or credit on the Cooperative's monthly wholesale power billing including any power cost adjustment, rate surcharge or fuel cost adjustment charge.

Billings under this rate schedule may be increased by an amount equal to the sum of the applicable sales taxes, fees or charges payable by the Cooperative and levied or assessed by any governmental authority on the service rendered. A monthly charge of $0.50 per consumer will apply relative to the Cooperative's established General Plant - Building fund.",http://www.vernonelectric.org/content/rates,,,,,,
63,Gunnison County Elec Assn.,7787,Commercial (General): Single phase,539f6a33ec4f024411ec8c41,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f6a33ec4f024411ec8c41,Commercial,,http://gcea.coopwebbuilder2.com/sites/gcea/files/PDF/Policies/Rates/Rate%20Chart%202014%262015_no%2051%2052%20or%2053.pdf,,,,,,Single Phase
64,Rayle Electric Membership Corp,15700,"Small Commercial Service: Schedule SCS-13, Single-Phase",539f6a33ec4f024411ec8c47,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f6a33ec4f024411ec8c47,Commercial,"AVAILABILITY: Available in all territory served directly by existing retail distribution lines of the Cooperative subject to the Cooperative's established Service Rules and Regulations on file with the Georgia Public Service Commission. Multi-phase service is available only to consumers located on or near the Cooperative's multi-phase lines of adequate capacity.
APPLICABILITY: Applicable for single-phase or multi-phase service to commercial, industrial, governmental and other consumers with 50 kVA or less of installed transformer capacity for all uses including lighting, heating and power.
TYPE OF SERVICE: Single-phase, or multi-phase where available, 60 hertz at available secondary voltages.",ISU Document,,,,,Secondary,Single Phase
65,"City of Riverside, California (Utility Company)",16088,Large General and Industrial Service,539f6a33ec4f024411ec8c4d,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fc7dfec4f024d2f53e0e8,Commercial,"Applicable to service for all types of uses, including lighting, power and heating, alone or combined. Beginning on January 1, 2007, this schedule is applicable for new customers whose service is designed for a 150 kW load or greater per Electric Rule 11 as determined by the Department, or for existing customers with a monthly demand level equal to or exceeding 150 kW for any two of the preceding 12 months. Customers that do not meet or exceed the monthly demand under this schedule shall be transferred to the applicable rate schedule.

*For all customers served on Schedule TOU with Thermal Energy Storage (TES) equipment installed and operating to reduce on-peak charges, all energy delivered during any Sunday through Thursday, including holidays from 11 p.m. to 8 a.m. will be charged at the rate of $0.0610 per kWh.",http://www.riversideca.gov/utilities/pdf/2013/Electric%20Schedule%20TOU-%20clean%202-1-2013.pdf,,,,,,
74,"City of Gladstone, Michigan (Utility Company)",7265,"Rate Schedule SP1- Small Power 1PH - Non city  (Minimum 15,000 kWh per Month)",539f6a34ec4f024411ec8c9b,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f6a34ec4f024411ec8c9b,Commercial,"Subject to PCAC (Power Cost Adjustment Clause)

*Flat Rate Buy includes Energy Optimization ($5.54/meter)",http://www.gladstonemi.org/images/file/Electric%20effectirve%2008-01-2011.pdf,,,,,,
75,"Crawford Electric Coop, Inc",4524,"Small Commercial Service, Three-Phase (Schedule B)",539f6a34ec4f024411ec8c9d,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f6a34ec4f024411ec8c9d,Commercial,,ISU Documentation,100,,,,Secondary,3-Phase
83,"Town of Braintree, Massachusetts (Utility Company)",2144,SMALL GENERAL SERVICE,539f6a34ec4f024411ec8cd5,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f6a34ec4f024411ec8cd5,Commercial,"Additional Info:
*Applicable to:Any customer having a demand of less than 75 kW for all purposes not specifically provided for in other schedules.

*Minimum bill: $9.00 per month

*Rates:
  Energy Charge: $0.08000/kWh
  Transmission Charge: $0.00550/kWh
  Distribution Charge: $0.04800/kWh
*Plus Power Cost Adjustment (PCA) beginning April, 2012: $0.015 per kWh",http://www.beld.com/Pricing/ElectricPricing.asp?ElectricPricingID=4&PricingType=Business,,,,,,
84,"Wasco Electric Coop, Inc",20138,Commercial - Low Use,539f6a34ec4f024411ec8cd9,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f6a34ec4f024411ec8cd9,Commercial,"Available to all commercial, industrial and non-residential light, heat and small power consumers through a single delivery and metering point which use less than 5,000 kWh's per year. These uses are subject to the Cooperative's established rules and regulations.",http://www.wascoelectric.com/info/electricRates.php,,,,,,
85,"Edgar Electric Co-op, Assn",5531,Rate RES01 -- Single Phase,539f6a34ec4f024411ec8cdf,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f6a34ec4f024411ec8cdf,Commercial,This rate is required for all single-phase accounts. Members on this rate shall take both electric distribution and energy services from EnerStar. The installation of motors requiring in excess of 260 amperes starting current shall be subject to prior approval of the Cooperative.,http://www.enerstar.com/Files/2013%20RES01%20Single%20Phase%20Rate.pdf,,,,,,
93,Singing River Elec Pwr Assn (Mississippi),17252,Commercial General Service,539f6a45ec4f024411ec8d07,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f6a45ec4f024411ec8d07,Commercial,"*Subject to power cost adjustment, tax expense adjustment, and an environmental compliance charge.

*All kvar in excess of 40% (93% power factor) of billing demand will be billed at the rate of $0.90 per kvar.",http://www.singingriver.com/Files/GS-14.pdf,249,25,,,,
95,"Town of Winnsboro, South Carolina (Utility Company)",20826,General Service,539f6a45ec4f024411ec8d1d,,,,http://en.openei.org/apps/USURDB/rate/view/539f6a45ec4f024411ec8d1d,Commercial,Non-residential with monthly demand under 125 kVa.,ISU Documentation,125,,,,,
