simple_payback_period,fraction_willing_to_adopt
0,0.92
0.1,0.904
0.2,0.888
0.3,0.872
0.4,0.856
0.5,0.84
0.6,0.824
0.7,0.808
0.8,0.792
0.9,0.776
1,0.76
1.1,0.74
1.2,0.72
1.3,0.7
1.4,0.68
1.5,0.66
1.6,0.64
1.7,0.62
1.8,0.6
1.9,0.58
2,0.56
2.1,0.546
2.2,0.532
2.3,0.518
2.4,0.504
2.5,0.49
2.6,0.476
2.7,0.462
2.8,0.448
2.9,0.434
3,0.42
3.1,0.41
3.2,0.4
3.3,0.39
3.4,0.38
3.5,0.37
3.6,0.36
3.7,0.35
3.8,0.34
3.9,0.33
4,0.32
4.1,0.313
4.2,0.306
4.3,0.299
4.4,0.292
4.5,0.285
4.6,0.278
4.7,0.271
4.8,0.264
4.9,0.257
5,0.25
5.1,0.244
5.2,0.238
5.3,0.232
5.4,0.226
5.5,0.22
5.6,0.214
5.7,0.208
5.8,0.202
5.9,0.196
6,0.19
6.1,0.1835
6.2,0.177
6.3,0.1705
6.4,0.164
6.5,0.1575
6.6,0.151
6.7,0.1445
6.8,0.138
6.9,0.1315
7,0.125
7.1,0.1205
7.2,0.116
7.3,0.1115
7.4,0.107
7.5,0.1025
7.6,0.098
7.7,0.0935
7.8,0.089
7.9,0.0845
8,0.08
8.1,0.078
8.2,0.076
8.3,0.074
8.4,0.072
8.5,0.07
8.6,0.068
8.7,0.066
8.8,0.064
8.9,0.062
9,0.06
9.1,0.0558
9.2,0.0516
9.3,0.0474
9.4,0.0432
9.5,0.039
9.6,0.0348
9.7,0.0306
9.8,0.0264
9.9,0.0222
10,0.018
10.1,0.0178
10.2,0.0176
10.3,0.0174
10.4,0.0172
10.5,0.017
10.6,0.0168
10.7,0.0166
10.8,0.0164
10.9,0.0162
11,0.016
11.1,0.0158
11.2,0.0156
11.3,0.0154
11.4,0.0152
11.5,0.015
11.6,0.0148
11.7,0.0146
11.8,0.0144
11.9,0.0142
12,0.014
12.1,0.0138
12.2,0.0136
12.3,0.0134
12.4,0.0132
12.5,0.013
12.6,0.0128
12.7,0.0126
12.8,0.0124
12.9,0.0122
13,0.012
13.1,0.0118
13.2,0.0116
13.3,0.0114
13.4,0.0112
13.5,0.011
13.6,0.0108
13.7,0.0106
13.8,0.0104
13.9,0.0102
14,0.01
14.1,0.0098
14.2,0.0096
14.3,0.0094
14.4,0.0092
14.5,0.009
14.6,0.0088
14.7,0.0086
14.8,0.0084
14.9,0.0082
15,0.008
15.1,0.0079
15.2,0.0078
15.3,0.0077
15.4,0.0076
15.5,0.0075
15.6,0.0074
15.7,0.0073
15.8,0.0072
15.9,0.0071
16,0.007
16.1,0.0069
16.2,0.0068
16.3,0.0067
16.4,0.0066
16.5,0.0065
16.6,0.0064
16.7,0.0063
16.8,0.0062
16.9,0.0061
17,0.006
17.1,0.0059
17.2,0.0058
17.3,0.0057
17.4,0.0056
17.5,0.0055
17.6,0.0054
17.7,0.0053
17.8,0.0052
17.9,0.0051
18,0.005
18.1,0.005
18.2,0.005
18.3,0.005
18.4,0.005
18.5,0.005
18.6,0.005
18.7,0.005
18.8,0.005
18.9,0.005
19,0.005
19.1,0.0049
19.2,0.0048
19.3,0.0047
19.4,0.0046
19.5,0.0045
19.6,0.0044
19.7,0.0043
19.8,0.0042
19.9,0.0041
20,0.004
20.1,0.0039
20.2,0.0038
20.3,0.0037
20.4,0.0036
20.5,0.0035
20.6,0.0034
20.7,0.0033
20.8,0.0032
20.9,0.0031
21,0.003
21.1,0.0029
21.2,0.0028
21.3,0.0027
21.4,0.0026
21.5,0.0025
21.6,0.0024
21.7,0.0023
21.8,0.0022
21.9,0.0021
22,0.002
22.1,0.002
22.2,0.002
22.3,0.002
22.4,0.002
22.5,0.002
22.6,0.002
22.7,0.002
22.8,0.002
22.9,0.002
23,0.002
23.1,0.0019
23.2,0.0018
23.3,0.0017
23.4,0.0016
23.5,0.0015
23.6,0.0014
23.7,0.0013
23.8,0.0012
23.9,0.0011
24,0.001
24.1,0.0009
24.2,0.0008
24.3,0.0007
24.4,0.0006
24.5,0.0005
24.6,0.0004
24.7,0.0003
24.8,0.0002
24.9,1E-04
25,0
25.1,0
25.2,0
25.3,0
25.4,0
25.5,0
25.6,0
25.7,0
25.8,0
25.9,0
26,0
26.1,0
26.2,0
26.3,0
26.4,0
26.5,0
26.6,0
26.7,0
26.8,0
26.9,0
27,0
27.1,0
27.2,0
27.3,0
27.4,0
27.5,0
27.6,0
27.7,0
27.8,0
27.9,0
28,0
28.1,0
28.2,0
28.3,0
28.4,0
28.5,0
28.6,0
28.7,0
28.8,0
28.9,0
29,0
29.1,0
29.2,0
29.3,0
29.4,0
29.5,0
29.6,0
29.7,0
29.8,0
29.9,0
30,0
