load,pv_cf
349.78,0
334.18,0
351.56,0
333.19,0
363.27,0
369.99,0
436.34,0
412.3,0.0104
400.05,0.1051
346.88,0.4189
317.63,0.6284
300.1,0.6255
318.97,0.707
299.94,0.6194
318.73,0.5234
299.81,0.3199
387.47,0.0731
446.29,0
464.42,0
421.58,0
440.35,0
397.28,0
390.78,0
348.06,0
404.24,0
386.03,0
404.34,0
386,0
417.45,0
460.76,0
590.43,0
611.59,0.0725
1277.37,0.3348
1240.27,0.5412
1248.77,0.6666
1249.69,0.7363
1197.96,0.7296
1249.43,0.6259
1250.55,0.5231
1252.7,0.1757
1343.22,0.0317
1241.07,0
993.07,0
970.41,0
776.31,0
753.84,0
384.61,0
322.79,0
326.05,0
336.19,0
358.41,0
408.19,0
450.23,0
484.7,0
597.69,0
687.26,0.0035
1331.55,0.0108
1294.46,0.0355
1246.25,0.0689
1247.37,0.0693
1203.31,0.0827
1264.83,0.0646
1268.74,0.0473
1266.32,0.0564
1318.83,0.0012
1200.56,0
937.21,0
920.92,0
721.62,0
697.09,0
384.61,0
324.05,0
312.28,0
372.41,0
434.26,0
410.88,0
447.44,0
485.36,0
593.8,0
610.25,0.0117
1311.28,0.2062
1303.21,0.4431
1253.09,0.5006
1277.46,0.5774
1247.59,0.5251
1312.81,0.3392
1316.46,0.3527
1302.78,0.1527
1343.12,0.0112
1212.52,0
948.28,0
922.57,0
723.12,0
698.11,0
384.61,0
324.05,0
312.3,0
366.44,0
410.5,0
434.92,0
422.59,0
510.03,0
591.07,0
610.58,0.0133
1276.69,0.2096
1310.41,0.4094
1258.69,0.56
1296.63,0.6845
1292.35,0.682
1352.56,0.6029
1354.58,0.4493
1353.04,0.2282
1406.88,0.0207
1270.44,0
989.43,0
951.27,0
744.69,0
722.92,0
384.61,0
322.79,0
310.56,0
310.56,0
310.56,0
318.68,0
359.09,0
403.8,0
609.94,0
707.67,0.0833
1351.9,0.3454
1325.45,0.5535
1289.03,0.6625
1298.26,0.6163
1259.27,0.4297
1331.51,0.6525
1342.32,0.5481
1345.37,0.2588
1388.94,0.0325
1251.93,0
984.34,0
940.55,0
727.74,0
650.38,0
384.61,0
324.06,0
262.94,0
323.26,0
386.85,0
360.95,0
398.01,0
398.18,0
594.29,0
460.72,0.0089
778.05,0.1359
824.81,0.1371
766.41,0.1337
808.26,0.182
825.33,0.1571
830.3,0.0731
494.34,0.1143
487.31,0.0302
530.83,0.0021
497.34,0
370.72,0
346.28,0
366.69,0
345.73,0
324.72,0
274.62,0
262.81,0
262.42,0
338.39,0
368.89,0
424.7,0
419.5,0
499.75,0
433.12,0.0028
311.23,0.0612
274.14,0.1313
239.71,0.1588
263.91,0.1794
273.65,0.1954
247.21,0.1938
255.38,0.1462
255.61,0.1681
315.91,0.0242
395.77,0
404.08,0
379.82,0
379.92,0
321.83,0
297.39,0
272.94,0
310.56,0
310.56,0
310.56,0
310.56,0
322.79,0
384.61,0
654.44,0
800.55,0.0493
1466.87,0.3012
1431.71,0.5275
1383.65,0.6745
1384.79,0.7572
1335.5,0.6785
1386.36,0.5445
1373.97,0.2739
1340.67,0.2067
1391.43,0.0273
1277.43,0
1030.45,0
987.17,0
789.26,0
762.16,0
384.61,0
322.79,0
319.42,0
334.69,0
312.25,0
312.68,0
448.23,0
494.66,0
605.48,0
609.42,0.084
1355.31,0.3479
1296.83,0.5662
1247.56,0.7113
1247.73,0.7801
1197.99,0.7382
1247.9,0.6778
1248.18,0.562
1248.36,0.342
1307.68,0.0944
1196.33,0
946.81,0
864.53,0
665.28,0
640.87,0
384.61,0
324.94,0
312.32,0
312.8,0
428.63,0
414.5,0
450.95,0
486.73,0
594.43,0
610.4,0.0085
1276.68,0.0633
1239.5,0.0956
1250.42,0.1322
1251.73,0.1696
1210.37,0.1505
1269.72,0.1377
1272.6,0.0969
1270.78,0.0625
1321.39,0.0094
1200.05,0
937.78,0
864.51,0
665.56,0
641.42,0
385.48,0
324.56,0
420.26,0
410.29,0
435.1,0
410.08,0
457.24,0
503.49,0
590.59,0
610.6,0.0105
1276.86,0.1252
1239.77,0.4277
1263.25,0.6474
1250.05,0.7039
1211.63,0.3262
1279.21,0.1608
1288.07,0.1627
1288.68,0.0768
1345.3,0.0252
1224.53,0
957.41,0
923.3,0
684.64,0
640.81,0
384.84,0
324.96,0
352.05,0
410.45,0
434.19,0
410.51,0
456.03,0
503.16,0
589.46,0
611.18,0.0128
1277.11,0.1583
1239.95,0.3527
1211.41,0.3115
1261.2,0.4418
1198.44,0.3837
1248.79,0.2333
1258.41,0.3225
1278.76,0.2194
1347.6,0.007
1229.11,0
967.56,0
934.45,0
726.5,0
701.87,0
384.61,0
322.79,0
262.81,0
262.39,0
262.85,0
303.81,0
374.11,0
422.08,0
591.56,0
461.08,0.0512
778.76,0.1169
741.87,0.2577
692.83,0.6322
692.79,0.7078
692.77,0.7036
692.88,0.6131
356.74,0.5455
356.93,0.298
405.97,0.0771
404.79,0
431.45,0
445.38,0
468.94,0
420.36,0
418.75,0
370.84,0
381.88,0
358.65,0
381.75,0
358.56,0
393.78,0
395.02,0
465.59,0
424.36,0.0459
424.76,0.0899
365.6,0.1922
338.48,0.5224
316.15,0.2539
337.83,0.4208
315.73,0.4678
337.53,0.4667
315.55,0.3012
385.63,0.069
461.61,0
482.46,0
435.93,0
456.44,0
409.92,0
405.29,0
359.32,0
366.47,0
345.04,0
363.79,0
342.99,0
373.97,0
378.15,0
445.35,0
408.98,0.0128
406.69,0.1317
350.8,0.3445
320.54,0.2412
301.55,0.1994
319.71,0.1124
300.85,0.0721
319.06,0.0448
299.95,0.0632
366.12,0.0089
445.49,0
463.01,0
420.31,0
437.2,0
394.22,0
386.49,0
344.34,0
398.69,0
381.04,0
397.29,0
379.8,0
408.23,0
453,0
577.7,0
606.49,0.0123
1282,0.1579
1244.75,0.2823
1195.55,0.6068
1195.33,0.6927
1145.46,0.7162
1195.08,0.5684
1194.95,0.1396
1194.92,0.0943
1243.89,0.0042
1143.02,0
894.08,0
869.77,0
670.55,0
646.05,0
469.3,0
439.59,0
402.47,0
425.1,0
401.28,0
423.97,0
412.72,0
496.31,0
584.58,0
604.69,0.0844
1280.87,0.3527
1243.79,0.5749
1192.3,0.7298
1191.05,0.8142
1140.93,0.807
1190.5,0.7359
1266.91,0.6119
1246.43,0.3935
1248.63,0.1257
1138.73,0
890.08,0
865.62,0
666.35,0
642.25,0
401.51,0
441.9,0
424.82,0
439.32,0
423.47,0
437.26,0
434.57,0
509.99,0
584.86,0
604.62,0.0749
1280.8,0.34
1243.58,0.559
1193.02,0.6853
1191.98,0.7688
1141.72,0.7616
1191.58,0.7028
1191.13,0.5706
1190.79,0.3646
1239.68,0.1119
1138.94,0
890.21,0
866.37,0
667.5,0
643.14,0
400.25,0
444.67,0
408.18,0
443.61,0
427.1,0
443.69,0
439.23,0
518.01,0
590.92,0
600.41,0.0025
1276.8,0.0701
1286.67,0.1496
1250.42,0.1275
1248.32,0.1644
1205.73,0.2244
1271.46,0.1686
1284.44,0.1073
1289.8,0.0838
1331.9,0.013
1216.13,0
959,0
928.86,0
723.62,0
698.03,0
384.61,0
324.7,0
268.41,0
378.2,0
360.72,0
385.07,0
386.18,0
431.09,0
591.31,0
451.49,0.011
778.92,0.0814
761.37,0.1322
762.7,0.1784
751.5,0.1994
753.25,0.1981
761.09,0.1854
434.11,0.1446
437.42,0.0908
479.45,0.0203
464.2,0
370.72,0
348.38,0
364.6,0
443.7,0
397.75,0
408.11,0
379.51,0
394.35,0
377.8,0
392.94,0
390.26,0
429.89,0
463.5,0
462.09,0.0282
429.74,0.2515
406.75,0.4705
340.68,0.5304
284.34,0.6068
254.09,0.6451
263.26,0.6242
255.8,0.4997
263.97,0.2051
318.52,0.0609
444.24,0
429.05,0
422.85,0
451.4,0
448.62,0
447.46,0
392.61,0
457.84,0
429.17,0
456.77,0
426.24,0
464.71,0
497.89,0
620.08,0
700.41,0.0392
1344.84,0.2465
1315.96,0.3602
1261.01,0.5151
1252.04,0.4385
1202.45,0.5051
1253.77,0.3262
1250.78,0.5202
1247.66,0.345
1296.27,0.0542
1184.72,0
945.6,0
920.91,0
684.11,0
641.01,0
385.25,0
327.23,0
429.57,0
417.52,0
444.66,0
418.06,0
465.88,0
506.24,0
605.42,0
599.6,0.0043
1354.01,0.025
1296.11,0.0888
1246.81,0.1323
1247.21,0.1538
1197.57,0.1689
1247.5,0.1919
1247.82,0.1146
1248.07,0.0724
1297.18,0.0229
1186.01,0
946.81,0
921.95,0
722.52,0
697.81,0
384.61,0
324.48,0
312.7,0
376.48,0
404.53,0
444.26,0
433.57,0
527.27,0
618.91,0
694.09,0.0567
1336.62,0.2698
1306.32,0.3026
1280.26,0.4123
1300.15,0.2765
1259.16,0.5329
1316.29,0.5769
1321.21,0.2972
1321.36,0.1748
1358.07,0.0289
1217.12,0
955.99,0
922.85,0
723,0
669.37,0
384.61,0
324.05,0
312.73,0
318.34,0
432.33,0
414.02,0
453.08,0
490.15,0
603.47,0
599.22,0.0008
1357.67,0.0213
1297.82,0.0448
1260.28,0.1494
