load,pv_cf
285.64,0
281.39,0
286.64,0
281.44,0
298.92,0
318.17,0
372.32,0
350.43,0.0161
335.01,0.2503
293.02,0.4357
249.23,0.5584
244.04,0.5487
246.99,0.5439
242.27,0.5064
246.91,0.4827
242.24,0.3209
308.21,0
391.15,0
396.34,0
366.82,0
372.05,0
342.45,0
323.25,0
293.64,0
336.49,0
331.28,0
336.55,0
331.33,0
348.81,0
405.38,0
469.52,0
602.17,0.0165
1277.43,0.2295
1239.73,0.4352
1190.49,0.4758
1190.32,0.6191
1140.46,0.5941
1190.15,0.453
1190.11,0.4429
1190.07,0.3109
1249.24,0
1137.97,0
888.9,0
864.47,0
665.23,0
640.79,0
384.61,0
322.79,0
311.33,0
312.08,0
312.49,0
324.1,0
343.59,0
403.32,0
466.99,0
599.21,0.0149
1275.85,0.1995
1239.03,0.3637
1190.05,0.4852
1189.99,0.455
1140.17,0.5334
1189.98,0.4787
1189.95,0.3564
1189.95,0.228
1249.15,0
1137.82,0
888.66,0
864.23,0
664.96,0
640.57,0
384.61,0
322.79,0
310.56,0
310.56,0
310.56,0
310.56,0
322.79,0
384.61,0
466.24,0
598.87,0.0106
1275.75,0.1467
1239.03,0.1626
1190.11,0.2519
1190.09,0.4965
1140.27,0.4209
1190.07,0.5077
1190.06,0.2533
1190.06,0.179
1249.22,0
1137.87,0
888.71,0
864.27,0
664.95,0
640.51,0
384.61,0
322.79,0
310.56,0
310.56,0
310.56,0
310.56,0
322.79,0
384.61,0
465.98,0
598.72,0.0044
1275.7,0.18
1250.8,0.2473
1227.18,0.5131
1231.68,0.5991
1187.44,0.6525
1245.33,0.6357
1246.55,0.5224
1272.36,0.3441
1341.58,0
1224.36,0
968.53,0
939.38,0
739.94,0
715.45,0
384.61,0
322.79,0
310.56,0
310.56,0
310.56,0
310.56,0
322.79,0
384.61,0
465.84,0
619.98,0.016
1286.74,0.2262
1238.89,0.3908
1189.97,0.344
1242.07,0.2382
1240.09,0.5589
1309.15,0.5288
1318.44,0.4741
1327.67,0.3274
1358.87,0
1224.49,0
957.47,0
930.87,0
664.78,0
640.36,0
384.61,0
322.79,0
260.72,0
260.72,0
260.72,0
260.72,0
272.94,0
297.39,0
465.76,0
449.02,0
777.28,0.0324
740.58,0.0786
702.78,0.2073
691.61,0.0604
691.58,0.1638
691.58,0.4032
355.24,0.2652
366.42,0.3101
404.22,0
402.89,0
370.72,0
346.28,0
346.28,0
321.84,0
297.39,0
272.94,0
260.72,0
260.72,0
260.72,0
260.72,0
272.94,0
297.39,0
346.28,0
330.79,0.0155
309.13,0.2507
272.46,0.4547
223.57,0.587
223.57,0.6521
223.57,0.6703
223.57,0.5154
223.57,0.4703
223.57,0.271
272.46,0
370.72,0
370.72,0
347.79,0
348.17,0
323.35,0
299.29,0
274.47,0
312.46,0
312.1,0
312.51,0
312.16,0
324.81,0
399.11,0
466.78,0
599.13,0.0153
1275.77,0.2359
1238.93,0.4041
1190.02,0.5157
1190.01,0.6223
1140.14,0.6763
1189.92,0.4732
1189.89,0.4524
1201.04,0.149
1238.84,0
1137.78,0
888.63,0
864.21,0
664.89,0
640.46,0
384.61,0
322.79,0
310.56,0
311.71,0
312.48,0
312.11,0
324.77,0
386.2,0
466.33,0
598.98,0.0147
1275.74,0.2339
1238.94,0.3802
1189.97,0.4506
1189.94,0.526
1140.11,0.5834
1189.91,0.4971
1189.9,0.4784
1189.91,0.3298
1238.83,0
1137.77,0
888.62,0
864.2,0
664.9,0
640.47,0
384.61,0
322.79,0
310.56,0
310.56,0
312.09,0
312.48,0
324.35,0
386.55,0
466.11,0
598.74,0.0069
1275.73,0.1865
1239.01,0.2288
1190.06,0.5067
1189.96,0.632
1140.38,0.4593
1190.76,0.6107
1189.9,0.4961
1189.86,0.3875
1238.77,0
1137.72,0
888.58,0
864.17,0
664.86,0
640.43,0
384.61,0
322.79,0
310.56,0
311.71,0
312.49,0
312.11,0
324.76,0
386.22,0
466.25,0
598.88,0.0128
1275.69,0.2212
1238.85,0.4229
1189.92,0.5574
1190.24,0.6248
1142.2,0.689
1251.27,0.5731
1265.56,0.472
1264.08,0.0754
1295.98,0
1137.68,0
888.52,0
864.11,0
664.81,0
640.39,0
384.61,0
322.79,0
310.56,0
310.56,0
311.7,0
312.08,0
324.68,0
386.16,0
466.03,0
598.64,0
1275.59,0.033
1238.81,0.0573
1189.91,0.0725
1190.63,0.2726
1141.6,0.55
1191.18,0.4832
1189.85,0.3963
1189.84,0.3502
1238.74,0
1137.69,0
