year,pv_price_low,pv_price_mid,pv_price_high,com_e_price_ref,com_e_price_ref_no_cpp,com_e_price_high_econ,com_e_price_low_econ,com_e_price_high_oil_price,com_e_price_low_oil_price,com_e_price_low_oil_resource,com_e_price_high_oil_resource,batt_kWh_cost_low,batt_kWh_cost_mid,batt_kWh_cost_high,batt_kW_cost_low,batt_kW_cost_mid,batt_kW_cost_high
2014,2699.070473,2699.070473,2699.070473,1.118221482,1.117774656,1.100621459,1.120760138,1.118491209,1.110162106,1.094984821,1.117512097,1,1,1,1,1,1
2015,2249.114594,2249.114594,2249.114594,0.988939605,0.989148769,0.976250865,0.993296231,0.994323833,0.983199393,0.973504494,0.987469576,1,1,1,1,1,1
2016,2034.163452,2169.131219,2249.114594,1,1,1,1,1,1,1,1,0.897014925,0.932355936,0.986476393,0.975836287,0.983732947,1
2017,1819.21231,2089.147843,2249.114594,0.926747546,0.931372917,0.9532336,0.956356958,0.946394077,0.953057624,0.956821713,0.996658902,0.794029851,0.864711873,0.972952785,0.951672575,0.967465894,1
2018,1604.261168,2009.164468,2249.114594,0.923192153,0.928713407,0.934355465,0.912320433,0.942629179,0.932999039,0.9576002,0.930420502,0.691044776,0.797067809,0.959429178,0.927508862,0.951198841,1
2019,1389.310026,1929.181093,2249.114594,0.98637689,0.994594438,0.988324286,0.971361762,0.981133312,0.979760303,1.010071826,0.971042432,0.588059701,0.729423746,0.945905571,0.903345149,0.934931787,1
2020,1174.358884,1849.197718,2249.114594,1.021099849,1.015514699,1.027773582,0.992059515,1.012281117,1.004674766,1.063652099,0.968725258,0.485074627,0.661779682,0.932381964,0.879181436,0.918664734,1
2021,1137.114088,1764.948629,2249.114594,1.036290931,1.033919456,1.040610862,1.008810085,1.041252798,1.000605653,1.118689533,0.979083278,0.443615257,0.633559929,0.905074973,0.855017724,0.902397681,1
2022,1099.869292,1680.69954,2249.114594,1.044613368,1.039739102,1.049579441,1.026917213,1.049971773,1.010689902,1.139321851,0.98620677,0.402155887,0.605340175,0.877767983,0.830854011,0.886130628,1
2023,1062.624496,1596.450451,2249.114594,1.064514804,1.045857516,1.06963943,1.041187071,1.061025368,1.028474038,1.17543924,0.993087805,0.360696517,0.577120422,0.850460993,0.806690298,0.869863575,1
2024,1025.3797,1512.201362,2249.114594,1.080737064,1.056572443,1.081694568,1.062731201,1.083934692,1.038702543,1.213227914,0.995161807,0.319237148,0.548900668,0.823154002,0.782526586,0.853596522,1
2025,988.1349037,1427.952273,2249.114594,1.097527901,1.074910354,1.096130614,1.084437017,1.114619317,1.052249979,1.242445282,1.003558501,0.277777778,0.520680915,0.795847012,0.758362873,0.837329469,1
2026,977.7334836,1396.414369,2249.114594,1.10376737,1.087581815,1.101759297,1.100096807,1.141727735,1.061927254,1.250536006,1.008113644,0.258640133,0.510794732,0.773292021,0.73419916,0.821062416,1
2027,967.3320636,1364.876464,2249.114594,1.115623488,1.072017573,1.099589256,1.10672092,1.171948987,1.073749831,1.259815332,1.020041666,0.239502488,0.500908549,0.75073703,0.710035448,0.804795362,1
