dispatcher,reopt,original_load
0.00,285.64,285.64
103.11,281.39,281.39
104.17,286.64,286.64
273.05,281.44,281.44
280.04,298.92,298.92
309.78,318.17,318.17
355.54,372.32,372.32
312.61,316.803,350.43
0.00,0,335.01
0.00,0,293.02
0.00,0,249.23
0.00,0,244.04
0.00,0,246.99
0.00,0,242.27
0.00,0,246.91
0.00,0,242.24
308.21,308.21,308.21
391.15,391.15,391.15
396.34,396.34,396.34
366.82,366.82,366.82
372.05,372.05,372.05
342.45,342.45,342.45
323.25,323.25,323.25
293.64,293.64,293.64
336.49,336.49,336.49
331.28,331.28,331.28
336.55,336.55,336.55
331.33,331.33,331.33
348.81,348.81,348.81
405.38,405.38,405.38
469.52,469.52,469.52
567.71,567.708,602.17
628.20,798.089,1277.43
330.76,330.757,1239.73
196.72,28.2191,1190.49
0.93,0,1190.32
0.76,0,1140.46
244.00,244,1190.15
265.06,265.055,1190.11
540.71,540.714,1190.07
1175.83,1176.93,1249.24
1137.97,1137.97,1137.97
888.90,888.9,888.9
862.37,864.47,864.47
665.23,665.23,665.23
640.79,640.79,640.79
384.61,384.61,384.61
322.79,322.79,322.79
311.33,311.33,311.33
312.08,312.08,312.08
312.49,312.49,312.49
324.10,324.1,324.1
343.59,343.59,343.59
403.32,403.32,403.32
466.99,466.99,466.99
568.09,568.089,599.21
859.17,859.168,1275.85
477.30,479.394,1239.03
176.65,176.646,1190.05
237.57,239.662,1189.99
24.00,12.7993,1140.17
190.15,190.152,1189.98
445.56,445.561,1189.95
712.55,713.742,1189.95
1174.83,1176.93,1249.15
1135.72,1137.82,1137.82
888.66,888.66,888.66
864.23,864.23,864.23
664.96,664.96,664.96
640.57,640.57,640.57
384.61,384.61,384.61
322.79,322.79,322.79
310.56,310.56,310.56
310.56,310.56,310.56
310.56,310.56,310.56
310.56,310.56,310.56
322.79,322.79,322.79
384.61,384.61,384.61
466.24,466.24,466.24
576.73,576.73,598.87
969.35,969.348,1275.75
899.42,899.418,1239.03
663.98,663.984,1190.11
153.09,153.084,1190.09
261.17,261.165,1140.27
129.67,129.671,1190.07
661.01,661.009,1190.06
815.07,816.195,1190.06
1176.93,1176.93,1249.22
1137.87,1137.87,1137.87
888.71,888.71,888.71
864.27,864.27,864.27
664.95,664.95,664.95
640.51,640.51,640.51
384.61,384.61,384.61
322.79,322.79,322.79
310.56,310.56,310.56
310.56,310.56,310.56
310.56,310.56,310.56
310.56,310.56,310.56
322.79,322.79,322.79
384.61,384.61,384.61
465.98,465.98,465.98
589.53,589.53,598.72
899.75,899.746,1275.7
734.28,734.281,1250.8
155.50,155.503,1227.18
0.61,0,1231.68
1.63,0,1187.44
1.04,0,1245.33
153.70,155.448,1246.55
553.55,553.662,1272.36
1176.93,1176.93,1341.58
1176.93,1176.93,1224.36
968.53,968.53,968.53
939.38,939.38,939.38
739.94,739.94,739.94
715.45,715.45,715.45
384.61,384.61,384.61
322.79,322.79,322.79
310.56,310.56,310.56
310.56,310.56,310.56
310.56,310.56,310.56
310.56,310.56,310.56
325.32,322.79,322.79
384.61,384.61,384.61
465.84,465.84,465.84
616.91,615.726,619.98
814.29,814.291,1286.74
422.65,422.653,1238.89
471.48,471.48,1189.97
744.56,744.558,1242.07
72.75,72.7534,1240.09
204.68,204.681,1309.15
327.12,328.219,1318.44
643.74,643.852,1327.67
1176.93,1176.93,1358.87
1176.93,1176.93,1224.49
957.47,957.47,957.47
930.87,930.87,930.87
664.78,664.78,664.78
640.36,640.36,640.36
384.61,384.61,384.61
322.79,322.79,322.79
260.72,260.72,260.72
260.72,260.72,260.72
260.72,260.72,260.72
260.72,260.72,260.72
272.94,272.94,272.94
297.39,297.39,297.39
465.76,465.76,465.76
449.02,449.02,449.02
709.61,709.608,777.28
576.41,576.414,740.58
269.81,269.807,702.78
565.46,565.457,691.61
349.46,349.462,691.58
0.00,0,691.58
0.00,0,355.24
0.00,0,366.42
221.75,404.22,404.22
291.73,402.89,402.89
368.62,370.72,370.72
287.55,346.28,346.28
342.09,164.342,346.28
309.26,321.84,321.84
297.39,297.39,297.39
264.55,272.94,272.94
258.62,260.72,260.72
258.62,78.7821,260.72
258.62,260.72,260.72
258.62,207.214,260.72
264.55,272.94,272.94
297.39,297.39,297.39
342.09,346.28,346.28
281.64,298.416,330.79
0.00,0,309.13
0.00,0,272.46
0.00,0,223.57
0.00,0,223.57
0.00,0,223.57
0.00,0,223.57
0.00,0,223.57
0.00,0,223.57
272.46,272.46,272.46
370.72,370.72,370.72
370.72,370.72,370.72
347.79,347.79,347.79
348.17,348.17,348.17
323.35,323.35,323.35
299.29,299.29,299.29
274.47,274.47,274.47
312.46,312.46,312.46
312.10,312.1,312.1
312.51,312.51,312.51
312.16,312.16,312.16
324.81,324.81,324.81
399.11,399.11,399.11
466.78,466.78,466.78
567.17,567.174,599.13
600.59,783.062,1275.77
212.44,212.976,1238.93
62.58,21.8847,1190.02
1.52,0,1190.01
0.00,0,1140.14
44.28,201.579,1189.92
242.90,244.993,1189.89
888.82,889.834,1201.04
1174.83,1176.93,1238.84
1135.68,1137.78,1137.78
886.53,888.63,888.63
862.11,864.21,864.21
662.79,664.89,664.89
640.46,640.46,640.46
384.61,384.61,384.61
322.79,322.79,322.79
310.56,310.56,310.56
311.71,311.71,311.71
312.48,312.48,312.48
312.11,312.11,312.11
324.77,324.77,324.77
386.20,386.2,386.2
466.33,466.33,466.33
568.28,568.277,598.98
785.11,787.209,1275.74
444.84,444.842,1238.94
248.83,248.832,1189.97
91.32,42.2254,1189.94
0.00,0,1140.11
151.65,151.651,1189.91
188.60,190.698,1189.9
500.06,501.079,1189.91
1174.83,1176.93,1238.83
1135.67,1137.77,1137.77
888.62,888.62,888.62
864.20,864.2,864.2
662.80,664.9,664.9
640.47,640.47,640.47
384.61,384.61,384.61
322.79,322.79,322.79
310.56,310.56,310.56
310.56,310.56,310.56
312.09,312.09,312.09
312.48,312.48,312.48
324.35,324.35,324.35
386.55,386.55,386.55
466.11,466.11,466.11
584.33,584.328,598.74
884.10,886.2,1275.73
761.13,761.131,1239.01
129.65,131.75,1190.06
1.44,0,1189.96
76.20,110.761,1140.38
1.21,0,1190.76
151.63,146.116,1189.9
379.43,380.515,1189.86
1174.83,1176.93,1238.77
1137.72,1137.72,1137.72
888.58,888.58,888.58
864.17,864.17,864.17
662.76,664.86,664.86
640.43,640.43,640.43
384.61,384.61,384.61
322.79,322.79,322.79
310.56,310.56,310.56
311.71,311.71,311.71
312.49,312.49,312.49
312.11,312.11,312.11
324.76,324.76,324.76
386.22,386.22,386.22
466.25,466.25,466.25
572.15,572.146,598.88
811.59,813.685,1275.69
355.57,173.63,1238.85
23.62,0,1189.92
1.59,0,1190.24
0.00,0,1142.2
39.59,23.4916,1251.27
277.52,279.726,1265.56
1106.21,1106.6,1264.08
1174.83,1176.93,1295.98
1135.58,1137.68,1137.68
888.52,888.52,888.52
862.01,864.11,864.11
664.81,664.81,664.81
640.39,640.39,640.39
384.61,384.61,384.61
322.79,322.79,322.79
310.56,310.56,310.56
310.56,310.56,310.56
311.70,311.7,311.7
312.08,312.08,312.08
324.68,324.68,324.68
386.16,386.16,386.16
466.03,466.03,466.03
599.09,598.64,598.64
1174.83,1176.93,1275.59
1117.03,1119.13,1238.81
1036.39,1038.48,1189.91
619.17,621.269,1190.63
0.44,0,1141.6
179.86,181.953,1191.18
362.13,362.125,1189.85
455.19,276.463,1189.84
1174.83,1176.93,1238.74
1137.69,1137.69,1137.69
886.44,888.54,888.54
862.01,864.11,864.11
662.70,664.8,664.8
640.38,640.38,640.38
384.61,384.61,384.61
322.79,322.79,322.79
260.72,260.72,260.72
260.72,260.72,260.72
260.72,260.72,260.72
262.62,262.62,262.62
274.46,274.46,274.46
299.31,299.31,299.31
466.02,466.02,466.02
435.45,435.445,449.23
659.16,659.163,777.38
476.01,476.01,740.64
165.20,165.196,702.81
0.00,0,691.66
0.00,0,691.59
0.00,0,704.78
0.00,0,413.88
0.00,0,440.57
298.14,465.93,465.93
402.85,402.85,402.85
368.62,370.72,370.72
260.29,346.28,346.28
314.82,346.28,346.28
309.26,321.84,321.84
297.39,297.39,297.39
264.55,272.94,272.94
258.62,260.72,260.72
262.24,262.24,262.24
256.33,262.62,262.62
241.28,80.3121,262.25
268.57,274.86,274.86
292.66,298.95,298.95
325.15,166.282,348.22
312.61,323.094,331.24
219.72,180.892,311.05
0.00,0,273.97
33.83,0,224.33
0.00,0,223.57
1.89,0,286.49
0.00,0,303.7
55.23,0,305.94
59.97,0,223.57
253.58,272.46,272.46
368.62,370.72,370.72
368.62,370.72,370.72
342.09,346.28,346.28
342.09,346.28,346.28
302.95,321.83,321.83
297.39,297.39,297.39
264.55,272.94,272.94
252.71,249.723,261.1
256.32,262.61,262.61
262.23,262.23,262.23
256.32,262.61,262.61
268.17,274.46,274.46
295.09,299.28,299.28
345.70,347.8,347.8
331.56,331.56,331.56
60.70,61.2393,310.64
1.32,0,296.61
0.00,0,229.48
0.34,0,324.69
113.47,113.474,329.23
235.58,235.58,345.86
227.42,227.419,330.18
106.10,106.103,294.08
272.46,272.46,272.46
370.72,370.72,370.72
370.72,370.72,370.72
346.65,346.65,346.65
348.16,348.16,348.16
323.34,323.34,323.34
299.28,299.28,299.28
274.46,274.46,274.46
312.45,312.45,312.45
312.08,312.08,312.08
312.46,312.46,312.46
312.08,312.08,312.08
324.68,324.68,324.68
386.14,386.14,386.14
466.31,466.31,466.31
598.83,598.83,598.83
1140.48,1140.48,1275.61
1078.02,1078.02,1238.84
1008.41,1008.41,1214.14
689.94,689.935,1277.05
989.47,989.467,1236.97
1101.17,1101.17,1300.63
1083.49,1083.49,1317.63
1072.64,1073.13,1307.68
1176.93,1176.93,1325.36
1150.38,1150.38,1150.38
888.52,888.52,888.52
864.10,864.1,864.1
664.80,664.8,664.8
640.39,640.39,640.39
384.61,384.61,384.61
325.32,322.79,322.79
318.15,310.56,310.56
314.24,311.71,311.71
314.65,312.12,312.12
315.03,312.5,312.5
326.90,324.37,324.37
394.21,386.62,386.62
473.77,466.18,466.18
606.68,598.83,598.83
1176.93,1176.93,1275.64
1176.17,1176.17,1238.83
1093.69,1093.69,1190.18
1030.21,1030.21,1192.08
461.16,461.155,1143.72
1016.82,1016.82,1194.56
959.79,959.794,1193.93
630.75,631.591,1192.18
1176.93,1176.93,1239.01
1127.41,1127.41,1127.41
888.52,888.52,888.52
864.09,864.09,864.09
664.80,664.8,664.8
640.39,640.39,640.39
392.20,384.61,384.61
325.32,322.79,322.79
318.15,310.56,310.56
318.15,310.56,310.56
318.15,310.56,310.56
322.58,312.46,312.46
334.42,324.3,324.3
396.64,386.52,386.52
473.57,465.98,465.98
602.81,598.72,598.72
1176.93,1176.93,1275.62
1038.10,1038.1,1238.82
940.13,940.13,1189.93
844.23,844.228,1191.15
876.43,876.431,1142.94
1084.60,1084.6,1193.63
915.26,914.863,1192.86
1129.18,1130.61,1191.18
1176.93,1176.93,1238.75
1127.41,1127.41,1127.41
888.52,888.52,888.52
864.10,864.1,864.1
664.79,664.79,664.79
647.97,640.38,640.38
392.20,384.61,384.61
325.32,322.79,322.79
318.15,310.56,310.56
314.63,312.1,312.1
315.03,312.5,312.5
319.75,312.16,312.16
324.81,324.81,324.81
386.25,386.25,386.25
473.79,466.2,466.2
599.50,598.86,598.86
1176.93,1176.93,1275.72
1176.39,1176.39,1238.84
1094.48,1094.48,1190.56
1079.53,1079.53,1193.15
1023.63,1023.63,1144.77
1120.19,1120.19,1231.1
1158.95,1158.95,1273.41
1075.76,1076.06,1253.8
1176.93,1176.93,1239.56
1127.39,1127.39,1127.39
888.51,888.51,888.51
864.08,864.08,864.08
664.78,664.78,664.78
651.51,651.51,651.51
384.61,384.61,384.61
322.79,322.79,322.79
260.72,260.72,260.72
261.87,261.87,261.87
262.68,262.68,262.68
262.31,262.31,262.31
274.98,274.98,274.98
299.02,299.02,299.02
466.27,466.27,466.27
410.95,410.949,449.38
320.49,320.487,777.48
94.98,94.9838,740.58
334.44,334.444,691.6
0.00,0,691.71
1.14,0,692.27
0.00,0,692.35
0.00,0,355.18
3.27,0,355.13
84.63,51.6115,409.83
346.39,392.53,392.53
368.62,370.72,370.72
314.82,346.28,346.28
342.09,346.28,346.28
309.26,321.84,321.84
297.39,297.39,297.39
264.55,272.94,272.94
240.88,261.85,261.85
240.89,261.86,261.86
256.32,262.61,262.61
262.24,262.24,262.24
262.26,274.84,274.84
273.74,116.972,298.91
339.80,348.19,348.19
300.48,302.576,331.19
116.29,118.494,311.04
0.00,0,273.98
0.00,0,225.47
0.00,0,225.08
0.00,0,224.71
0.00,0,224.71
0.00,0,224.33
30.63,30.6283,225.08
187.67,187.672,274.35
361.97,361.97,361.97
372.62,372.62,372.62
347.80,347.8,347.8
348.18,348.18,348.18
323.36,323.36,323.36
299.31,299.31,299.31
274.49,274.49,274.49
312.53,312.53,312.53
312.14,312.14,312.14
312.60,312.6,312.6
329.35,329.35,329.35
346.30,346.3,346.3
403.45,403.45,403.45
466.95,466.95,466.95
569.40,569.403,608.46
1061.77,1176.93,1275.98
1008.73,1153.45,1239.08
1018.77,1018.77,1190.04
964.62,966.715,1189.99
1005.84,1007.94,1140.15
9.45,0,1189.94
534.26,536.357,1189.89
384.50,384.503,1189.88
857.82,857.823,1238.79
1125.39,1127.49,1127.49
886.53,888.63,888.63
862.11,864.21,864.21
664.91,664.91,664.91
640.50,640.5,640.5
384.61,384.61,384.61
322.79,322.79,322.79
310.56,310.56,310.56
312.09,312.09,312.09
312.47,312.47,312.47
312.13,312.13,312.13
324.74,324.74,324.74
386.22,386.22,386.22
466.28,466.28,466.28
539.35,539.354,598.88
709.68,527.743,1275.7
284.98,126.294,1238.87
2.08,0,1189.94
0.92,0,1190.99
0.00,0,1142.46
0.77,0,1193.42
152.68,152.682,1193.03
324.82,324.816,1191.39
900.43,900.432,1238.79
1127.42,1127.42,1127.42
888.54,888.54,888.54
864.12,864.12,864.12
664.82,482.882,664.82
640.40,640.4,640.4
384.61,384.61,384.61
322.79,322.79,322.79
310.56,310.56,310.56
311.71,311.71,311.71
312.50,312.5,312.5
312.12,312.12,312.12
324.79,324.79,324.79
386.24,386.24,386.24
466.26,466.26,466.26
558.15,558.152,598.88
1071.93,1071.93,1275.78
1008.99,1008.99,1238.95
336.78,336.784,1189.99
879.37,879.37,1189.95
805.72,805.72,1140.11
1.47,0,1189.9
1090.46,1090.46,1189.88
419.39,419.394,1189.89
1052.29,1052.29,1238.8
1127.49,1127.49,1127.49
888.61,888.61,888.61
864.17,864.17,864.17
664.86,664.86,664.86
640.43,640.43,640.43
384.61,384.61,384.61
322.79,322.79,322.79
310.56,310.56,310.56
310.56,310.56,310.56
311.71,311.71,311.71
312.10,312.1,312.1
324.70,324.7,324.7
386.18,386.18,386.18
466.06,466.06,466.06
569.68,569.678,598.71
1048.55,1176.93,1275.71
976.69,1159.16,1238.95
886.13,913.395,1189.93
910.65,910.65,1189.9
778.68,780.781,1187.02
13.39,0,1271.37
123.80,11.3167,1305.76
375.75,375.75,1307.28
1063.82,1067.99,1343.69
1174.83,1176.93,1183.25
886.47,888.57,888.57
862.08,864.18,864.18
662.76,664.86,664.86
640.39,640.39,640.39
384.61,384.61,384.61
322.79,322.79,322.79
310.56,310.56,310.56
310.56,310.56,310.56
