original_load,net_load,pv_cf,reopt_grid_to_load,python_dispatcher,original_load_hold
0,0,0,349.78,0.00E+00,349.78
1,1,0,334.18,2.04E+02,334.18
2,2,0,351.56,2.00E+02,351.56
3,3,0,333.19,2.03E+02,333.19
4,4,0,363.27,2.33E+02,363.27
5,5,0,369.99,2.40E+02,369.99
6,6,0,436.34,3.06E+02,436.34
7,-28.4135392,0.0162913,390.612,2.60E+02,412.3
8,-419.6783787,0.196745,180.88,4.15E+01,400.05
9,-844.8720724,0.392807,0,-3.81E+02,346.88
10,-998.1206178,0.463766,0,-8.65E+02,317.63
11,-643.9155994,0.301281,0,-8.77E+02,300.1
12,-1037.376599,0.482745,0,-1.03E+03,318.97
13,-120.4012216,0.0613686,0,-8.63E+02,299.94
14,-567.9964847,0.267736,0,-6.36E+02,318.73
15,-150.019141,0.0759138,0,-2.13E+02,299.81
16,-7.448674367,0.0107871,0,1.64E+02,387.47
17,17,0,132.621,4.03E+02,446.29
18,18,0,464.42,4.21E+02,464.42
19,19,0,421.58,3.78E+02,421.58
20,20,0,440.35,3.97E+02,440.35
21,21,0,397.28,3.54E+02,397.28
22,22,0,390.78,3.47E+02,390.78
23,23,0,227.933,3.05E+02,348.06
24,24,0,404.24,3.61E+02,404.24
25,25,0,386.03,3.43E+02,386.03
26,26,0,404.34,3.61E+02,404.34
27,27,0,386,3.43E+02,386
28,28,0,417.45,3.74E+02,417.45
29,29,0,460.76,4.17E+02,460.76
30,30,0,590.43,5.47E+02,590.43
31,-3.894225548,0.0160524,460.403,4.11E+02,611.59
32,-427.5958436,0.211428,579.197,5.06E+02,1277.37
33,-488.5461148,0.239927,111.682,2.05E+01,1240.27
34,-810.5052975,0.388498,0,8.88E+00,1248.77
35,-1058.751939,0.503159,0,-3.71E+01,1249.69
36,-841.277054,0.403574,0,-7.43E+01,1197.96
37,-510.9465514,0.252072,0,1.96E+01,1249.43
38,-123.6045831,0.074343,159.707,1.13E+02,1250.55
39,-162.118722,0.0925207,886.305,8.58E+02,1252.7
40,30.40945719,0.00441194,1115.92,1.11E+03,1343.22
41,41,0,1115.92,1.11E+03,1241.07
42,42,0,993.07,9.93E+02,993.07
43,43,0,970.41,9.70E+02,970.41
44,44,0,776.31,7.76E+02,776.31
45,45,0,753.84,7.54E+02,753.84
46,46,0,384.61,3.85E+02,384.61
47,47,0,322.79,3.23E+02,322.79
48,48,0,326.05,3.26E+02,326.05
49,49,0,336.19,3.36E+02,336.19
50,50,0,358.41,3.58E+02,358.41
51,51,0,408.19,4.29E+02,408.19
52,52,0,450.23,4.58E+02,450.23
53,53,0,484.7,5.10E+02,484.7
54,54,0,597.69,6.15E+02,597.69
55,55,0,687.26,6.93E+02,687.26
56,19.35002042,0.0168601,1115.92,1.11E+03,1331.55
57,-20.23535236,0.0355306,1115.92,1.11E+03,1294.46
58,-48.00585044,0.0487659,1102.57,1.11E+03,1246.25
59,-55.13227221,0.0525043,1115.92,1.11E+03,1247.37
60,-71.15028279,0.0603331,1115.92,1.03E+03,1203.31
61,-44.15938441,0.0483765,1115.92,1.11E+03,1264.83
62,-6.047478703,0.0313039,1115.92,1.11E+03,1268.74
63,-30.21669203,0.0428825,1115.92,1.11E+03,1266.32
64,64,0,1115.92,1.11E+03,1318.83
65,65,0,1115.92,1.11E+03,1200.56
